held_out_class,n,auc,obs_agree
heterocyclic_organic,4637,0.6042813111248329,0.6855725684709941
metals_inorganic,4336,0.5709054744808302,0.5913284132841329
organic_pollutants,13853,0.5110584728070776,0.5927957843066484
other,15263,0.5643768714440554,0.6332962065124812
solvents_industrial,2673,0.6097161158277744,0.6169098391320613
