model,auc_mean,auc_sd,brier_mean
ctd_internal,0.5740361542144355,0.029675880869219965,0.23362700778915277
ctd_internal+conservation,0.5756849320361397,0.022731050339360338,0.23190751055973968
delta(full-base),0.0016487778217041838,0.008786205309530259,-0.0017194972294130805
