stratum,n,agree,p_agree,wilson_lo,wilson_hi,boot_lo,boot_hi,chance_agree,excess_over_chance
min_pmids=1,38135,23144,0.6068965517241379,0.6019837526675718,0.6117878168963062,0.5759907808669229,0.6371830684934371,0.5041226000616217,0.10277395166251624
min_pmids=2,1980,1515,0.7651515151515151,0.7459774372055368,0.7832987281510329,0.7010376921112246,0.8493604264749882,0.549104173043567,0.21604734210794818
min_pmids=3,374,339,0.9064171122994652,0.8726291350207772,0.9319411229621196,0.8571428571428571,0.9680264960746556,0.6841631159026567,0.22225399639680854
min_pmids=4,135,129,0.9555555555555556,0.906428641545762,0.9794738910604933,0.9261744966442953,0.984,0.7368449931412895,0.21871056241426612
min_pmids=5,60,60,1.0,0.93982814785791,0.9999999999999998,1.0,1.0,0.7222222222222223,0.2777777777777777
min_pmids=6,95,95,1.0,0.9611351464605271,1.0,1.0,1.0,0.7637673130193907,0.23623268698060929
