n,pred,obs
4078,0.4210027203291576,0.5529671407552722
4113,0.4878663878144263,0.5725747629467542
4066,0.5311291543438362,0.5794392523364486
4062,0.5597803573214554,0.6088133924175283
4071,0.5864887979175495,0.5821665438467207
4122,0.6116047209540814,0.5834546336729742
4041,0.6401987777410171,0.5513486760702796
4087,0.6787656919670831,0.5899192561781258
4061,0.7588966208542025,0.6968726914553066
4078,0.9004274429372918,0.8825404610102991
