model,auc_mean,auc_sd,ap_mean,brier_mean
logistic,0.5617076250082882,0.013584248844357112,0.7121784859321025,0.23017854260988924
gbm,0.5826264071823068,0.02474761953226192,0.7250777026823396,0.23082901409896178
baseline_prevalence,0.5,0.0,0.6199759680227568,0.23560576709700246
