stratum,n,agree,p_agree,wilson_lo,wilson_hi,boot_lo,boot_hi,chance_agree,excess_over_chance
PRIMARY_human_vs_rodent_disjoint,40779,25282,0.6199759680227568,0.6152537706705801,0.6246755635784844,0.5874364597185519,0.6535182723806706,0.5061929227709182,0.11378304525183858
SECONDARY_human_vs_rodent_all,45557,29546,0.6485501679215049,0.6441537750811792,0.6529215107700128,0.6165837322662093,0.6844798364947955,0.5087185162322637,0.13983165168924117
AUX_human_vs_rodent_sharedPMID,4778,4264,0.8924236082042696,0.883320679031203,0.9008960358669172,0.8023788646655524,0.9608254673753666,0.5448358345360284,0.34758777366824123
CEILING_mouse_vs_rat,25615,16945,0.6615264493460863,0.6557078337373271,0.6672966242628952,0.5874488211617116,0.7483548682879115,0.45152816433098875,0.20999828501509754
