factor,n_groups,icc,var_between,var_within
chemical,1477,0.04551376351793391,0.010735965557016867,0.22514796772366086
gene,11949,0.0680639136863399,0.016037092082434215,0.21958103819932154
aspect,17,0.11721188656598862,0.0305709048954591,0.23024654110860393
chem_gene_pair,40200,0.4416716535162036,0.10406297449368973,0.13154864709268854
chem_class,7,0.005371971847410336,0.001267632586699359,0.2347039291984664
