cons_quartile,perc_id_lo,perc_id_hi,perc_id_median,n,agree,p_agree,wilson_lo,wilson_hi,boot_lo,boot_hi
1,1.82221,78.90625,70.35715,9987,6290,0.6298187643937119,0.6203006347824193,0.639237063887666,0.6057864509669828,0.6619126255743997
2,78.90855,87.4613,83.3682,9987,6171,0.6179032742565335,0.6083300036210917,0.627385877739514,0.5845553136151939,0.6517142826870347
3,87.467,93.61335,90.5208,9976,6274,0.6289093825180433,0.6193815542592639,0.6383379707064093,0.5988131537607263,0.6612324764952965
4,93.61495,100.0,96.68875,9983,6042,0.6052288891114895,0.5956016849246671,0.614775140287105,0.5653540179622476,0.6443589599343315
