feature,auc_drop
rodent_direction,0.05589449227573005
log_gene_promiscuity,0.03710308145201737
aspect,0.021145184484180013
log_chem_promiscuity,0.01587450541136346
rod_pmids_f,0.013275461379882359
rod_support,2.6499230468823853e-05
log_pathway_deg,-0.000915680569982924
chem_class,-0.008945218493887453
